Date,2022,,,,
02/22/22,1780987,,,,
02/21/22,2215453,,,,
02/20/22,2067788,,,,
02/19/22,1826392,,,,|
02/18/22,2241123,,,,
02/17/22,1977756,,,,
02/16/22,1656217,,,,
02/15/22,1479653,,,,
02/14/22,1731473,,,,
02/13/22,1815824,,,,
02/12/22,1534080,,,,
02/11/22,1914374,,,,
02/10/22,1782705,,,,
02/09/22,1386325,,,,
02/08/22,1232591,,,,
02/07/22,1591438,,,,
02/06/22,1785846,,,,
02/05/22,1399444,,,,
02/04/22,1577790,,,,
02/03/22,1339533,,,,
02/02/22,1192973,,,,
02/01/22,1200580,,,,
01/31/22,1537573,,,,
01/30/22,1714280,,,,
01/29/22,1070691,,,,
01/28/22,1632406,,,,
01/27/22,1555773,,,,
01/26/22,1198339,,,,
01/25/22,1059741,,,,
01/24/22,1397281,,,,
01/23/22,1648529,,,,
01/22/22,1241792,,,,
01/21/22,1514369,,,,
01/20/22,1471161,,,,
01/19/22,1201583,,,,
01/18/22,1301462,,,,
01/17/22,1699242,,,,
01/16/22,1379403,,,,
01/15/22,1403734,,,,
01/14/22,1728383,,,,
01/13/22,1541835,,,,
01/12/22,1231419,,,,
01/11/22,1125952,,,,
01/10/22,1449550,,,,
01/09/22,1693518,,,,
01/08/22,1449698,,,,
01/07/22,1502714,,,,
01/06/22,1533544,,,,
01/05/22,1493235,,,,
01/04/22,1666715,,,,
01/03/22,1916499,,,,
01/02/22,2023309,,,,
01/01/22,1616316,,,,
12/31/21,714725,,,,
12/30/21,963280,,,,
12/29/21,1115479,,,,
12/28/21,942238,,,,
12/27/21,1059452,,,,
12/26/21,914823,,,,
12/25/21,773422,,,,
12/24/21,738825,,,,
12/23/21,967693,,,,
12/22/21,946458,,,,
12/21/21,900696,,,,
12/20/21,1151420,,,,
12/19/21,1034514,,,,
12/18/21,735009,,,,
12/17/21,617619,,,,
12/16/21,864783,,,,
12/15/21,854636,,,,
12/14/21,705951,,,,
12/13/21,868624,,,,
12/12/21,778065,,,,
12/11/21,618615,,,,
12/10/21,493338,,,,
12/09/21,628989,,,,
12/08/21,859039,,,,
12/07/21,617489,,,,
12/06/21,774688,,,,
12/05/21,750558,,,,
12/04/21,536935,,,,
12/03/21,468933,,,,
12/02/21,701709,,,,
12/01/21,838116,,,,
11/30/21,603527,,,,
11/29/21,755028,,,,
11/28/21,728978,,,,
11/27/21,542338,,,,
11/26/21,560190,,,,
11/25/21,878048,,,,
11/24/21,810654,,,,
11/23/21,690438,,,,
11/22/21,903039,,,,
11/21/21,803688,,,,
11/20/21,567401,,,,
11/19/21,520117,,,,
11/18/21,708177,,,,
11/17/21,886536,,,,
11/16/21,709444,,,,
11/15/21,772471,,,,
11/14/21,771734,,,,
11/13/21,665855,,,,
11/12/21,766594,,,,
11/11/21,1080346,,,,
11/10/21,1327289,,,,
11/09/21,1192881,,,,
11/08/21,1650795,,,,
11/07/21,2049604,,,,
11/06/21,2017937,,,,
11/05/21,1995747,,,,
11/04/21,2089186,,,,
11/03/21,2070554,,,,
11/02/21,1533398,,,,
11/01/21,1709601,,,,
10/31/21,2187792,,,,
10/30/21,2081297,,,,
10/29/21,1979089,,,,
10/28/21,2098540,,,,
10/27/21,2118528,,,,
10/26/21,2035273,,,,
10/25/21,2233754,,,,
10/24/21,2062579,,,,
10/23/21,1762920,,,,
10/22/21,1520251,,,,
10/21/21,1912915,,,,
10/20/21,2040364,,,,
10/19/21,1669737,,,,
10/18/21,2045674,,,,
10/17/21,1959937,,,,
10/16/21,1610785,,,,
10/15/21,1459054,,,,
10/14/21,1854048,,,,
10/13/21,2068792,,,,
10/12/21,1566729,,,,
10/11/21,1952294,,,,
10/10/21,1866275,,,,
10/09/21,1660506,,,,
10/08/21,1810460,,,,
10/07/21,2237087,,,,
10/06/21,2451300,,,,
10/05/21,2208192,,,,
10/04/21,1778983,,,,
10/03/21,1382230,,,,
10/02/21,2311978,,,,
10/01/21,2207949,,,,
09/30/21,2081064,,,,
09/29/21,2213716,,,,
09/28/21,2004579,,,,
09/27/21,2242956,,,,
09/26/21,2044545,,,,
09/25/21,1624511,,,,
09/24/21,1491890,,,,
09/23/21,2010601,,,,
09/22/21,2150150,,,,
09/21/21,1559772,,,,
09/20/21,2001439,,,,
09/19/21,2064753,,,,
09/18/21,1691526,,,,
09/17/21,1456657,,,,
09/16/21,1955530,,,,
09/15/21,2152721,,,,
09/14/21,1527465,,,,
09/13/21,2035406,,,,
09/12/21,1940302,,,,
09/11/21,1525948,,,,
09/10/21,1487874,,,,
09/09/21,1992577,,,,
09/08/21,1845965,,,,
09/07/21,1518020,,,,
09/06/21,1982773,,,,
09/05/21,1927041,,,,
09/04/21,1547075,,,,
09/03/21,1503587,,,,
09/02/21,1989373,,,,
09/01/21,2107839,,,,
08/31/21,1626185,,,,
08/30/21,2108582,,,,
08/29/21,2046694,,,,
08/28/21,1647089,,,,
08/27/21,1446353,,,,
08/26/21,2001297,,,,
08/25/21,2213296,,,,
08/24/21,1704466,,,,
08/23/21,2070878,,,,
08/22/21,2048398,,,,
08/21/21,1641419,,,,
08/20/21,1695970,,,,
08/19/21,2083627,,,,
08/18/21,2086146,,,,
08/17/21,1645563,,,,
08/16/21,2169783,,,,
08/15/21,2063090,,,,
08/14/21,1563565,,,,
08/13/21,1390201,,,,
08/12/21,1842054,,,,
08/11/21,2100167,,,,
08/10/21,1534114,,,,
08/09/21,2011794,,,,
08/08/21,1934592,,,,
08/07/21,1448369,,,,
08/06/21,1334997,,,,
08/05/21,1849171,,,,
08/04/21,2102155,,,,
08/03/21,1525438,,,,
08/02/21,2019891,,,,
08/01/21,1904732,,,,
07/31/21,1460478,,,,
07/30/21,1338166,,,,
07/29/21,1820152,,,,
07/28/21,2075468,,,,
07/27/21,1476269,,,,
07/26/21,1942337,,,,
07/25/21,1851345,,,,
07/24/21,1455913,,,,
07/23/21,1271516,,,,
07/22/21,1672895,,,,
07/21/21,1966456,,,,
07/20/21,1363653,,,,
07/19/21,1792979,,,,
07/18/21,1685668,,,,
07/17/21,1439804,,,,
07/16/21,1662932,,,,
07/15/21,2025556,,,,
07/14/21,1630786,,,,
07/13/21,1545955,,,,
07/12/21,2129999,,,,
07/11/21,1896846,,,,
07/10/21,1465197,,,,
07/09/21,1345064,,,,
07/08/21,1629475,,,,
07/07/21,1900658,,,,
07/06/21,1511294,,,,
07/05/21,1853622,,,,
07/04/21,1826310,,,,
07/03/21,1539707,,,,
07/02/21,1468219,,,,
07/01/21,1820355,,,,
06/30/21,1965020,,,,
06/29/21,1685462,,,,
06/28/21,1990608,,,,
06/27/21,1945026,,,,
06/26/21,1678231,,,,
06/25/21,1607238,,,,
06/24/21,1980585,,,,
06/23/21,2114166,,,,
06/22/21,1811767,,,,
06/21/21,2065379,,,,
06/20/21,2045301,,,,
06/19/21,1761348,,,,
06/18/21,1727075,,,,
06/17/21,2022858,,,,
06/16/21,2168264,,,,
06/15/21,1925641,,,,
06/14/21,2109091,,,,
06/13/21,2063720,,,,
06/12/21,1855299,,,,
06/11/21,1797120,,,,
06/10/21,2031758,,,,
06/09/21,2238462,,,,
06/08/21,2007412,,,,
06/07/21,2198585,,,,
06/06/21,2127634,,,,
06/05/21,1923980,,,,
06/04/21,1858328,,,,
06/03/21,2124474,,,,
06/02/21,2177129,,,,
06/01/21,1942871,,,,
05/31/21,2159300,,,,
05/30/21,2101343,,,,
05/29/21,1934918,,,,
05/28/21,1871986,,,,
05/27/21,2141429,,,,
05/26/21,2227704,,,,
05/25/21,1979981,,,,
05/24/21,2199815,,,,
05/23/21,2152053,,,,
05/22/21,1900945,,,,
05/21/21,1832878,,,,
05/20/21,2093066,,,,
05/19/21,2198635,,,,
05/18/21,1987652,,,,
05/17/21,2147903,,,,
05/16/21,2027364,,,,
05/15/21,1880160,,,,
05/14/21,1889911,,,,
05/13/21,2160147,,,,
05/12/21,1681896,,,,
05/11/21,1915017,,,,
05/10/21,2196411,,,,
05/09/21,2147090,,,,
05/08/21,1920663,,,,
05/07/21,1808306,,,,
05/06/21,2066964,,,,
05/05/21,2167380,,,,
05/04/21,1918705,,,,
05/03/21,2137584,,,,
05/02/21,2085327,,,,
05/01/21,1801329,,,,
04/30/21,1795141,,,,
04/29/21,2030577,,,,
04/28/21,2100761,,,,
04/27/21,1882381,,,,
04/26/21,2081115,,,,
04/25/21,2039425,,,,
04/24/21,1792370,,,,
04/23/21,1678688,,,,
04/22/21,1800954,,,,
04/21/21,2097433,,,,
04/20/21,1812797,,,,
04/19/21,2028961,,,,
04/18/21,1975189,,,,
04/17/21,1669537,,,,
04/16/21,1560561,,,,
04/15/21,1828396,,,,
04/14/21,1984658,,,,
04/13/21,1681192,,,,
04/12/21,1879885,,,,
04/11/21,1815931,,,,
04/10/21,1587910,,,,
04/09/21,1682752,,,,
04/08/21,1900170,,,,
04/07/21,1650454,,,,
04/06/21,1605810,,,,
04/05/21,1959593,,,,
04/04/21,1854534,,,,
04/03/21,1618169,,,,
04/02/21,1470840,,,,
04/01/21,1747353,,,,
03/31/21,1863697,,,,
03/30/21,1550044,,,,
03/29/21,1820433,,,,
03/28/21,1728496,,,,
03/27/21,1496089,,,,
03/26/21,1408017,,,,
03/25/21,1734541,,,,
03/24/21,1850531,,,,
03/23/21,1453267,,,,
03/22/21,1716561,,,,
03/21/21,1743515,,,,
03/20/21,1424664,,,,
03/19/21,1315493,,,,
03/18/21,1657722,,,,
03/17/21,1707805,,,,
03/16/21,1429657,,,,
03/15/21,1703267,,,,
03/14/21,1644050,,,,
03/13/21,1268938,,,,
03/12/21,1134103,,,,
03/11/21,1463672,,,,
03/10/21,1626962,,,,
03/09/21,1335535,,,,
03/08/21,1558553,,,,
03/07/21,1526681,,,,
03/06/21,1184326,,,,
03/05/21,1077199,,,,
03/04/21,1369410,,,,
03/03/21,1571220,,,,
03/02/21,1259724,,,,
03/01/21,1521393,,,,
02/28/21,1509649,,,,
02/27/21,1164099,,,,
02/26/21,1082443,,,,
02/25/21,1412500,,,,
02/24/21,1572383,,,,
02/23/21,1277815,,,,
02/22/21,1468218,,,,
02/21/21,1491435,,,,
02/20/21,1152703,,,,
02/19/21,1085034,,,,
02/18/21,1468972,,,,
02/17/21,1561495,,,,
02/16/21,1378237,,,,
02/15/21,1549181,,,,
02/14/21,1510829,,,,
02/13/21,1230939,,,,
02/12/21,1195306,,,,
02/11/21,1561959,,,,
02/10/21,1543474,,,,
02/09/21,1397958,,,,
02/08/21,1580785,,,,
02/07/21,1562239,,,,
02/06/21,1278113,,,,
02/05/21,1130520,,,,
02/04/21,1406234,,,,
02/03/21,1574228,,,,
02/02/21,1408198,,,,
02/01/21,1535156,,,,
01/31/21,1444744,,,,
01/30/21,1164954,,,,
01/29/21,1076453,,,,
01/28/21,1360290,,,,
01/27/21,1543136,,,,
01/26/21,1373259,,,,
01/25/21,1477841,,,,
01/24/21,1413141,,,,
01/23/21,1146539,,,,
01/22/21,1092548,,,,
01/21/21,1267345,,,,
01/20/21,1345284,,,,
01/19/21,1227484,,,,
01/18/21,1409771,,,,
01/17/21,1286894,,,,
01/16/21,974221,,,,
01/15/21,825745,,,,
01/14/21,1119303,,,,
01/13/21,1278557,,,,
01/12/21,992406,,,,
01/11/21,1168734,,,,
01/10/21,1107534,,,,
01/09/21,826924,,,,
01/08/21,744812,,,,
01/07/21,1049692,,,,
01/06/21,1190682,,,,
01/05/21,917282,,,,
01/04/21,1096348,,,,
01/03/21,1051149,,,,
01/02/21,802230,,,,
01/01/21,1919803,,,,
12/31/20,2267382,,,,
12/30/20,2380359,,,,
12/29/20,1951535,,,,
12/28/20,2429489,,,,
12/27/20,2358511,,,,
12/26/20,2129862,,,,
12/25/20,2190300,,,,
12/24/20,2494922,,,,
12/23/20,2198657,,,,
12/22/20,1972248,,,,
12/21/20,2507588,,,,
12/20/20,2415185,,,,
12/19/20,2038375,,,,
12/18/20,1814047,,,,
12/17/20,2164951,,,,
12/16/20,2224826,,,,
12/15/20,1770241,,,,
12/14/20,2271551,,,,
12/13/20,2167857,,,,
12/12/20,1843877,,,,
12/11/20,1677798,,,,
12/10/20,2054725,,,,
12/09/20,1948138,,,,
12/08/20,1658886,,,,
12/07/20,2159047,,,,
12/06/20,2085468,,,,
12/05/20,1777171,,,,
12/04/20,1643435,,,,
12/03/20,2004609,,,,
12/02/20,2136584,,,,
12/01/20,1645196,,,,
11/30/20,2145063,,,,
11/29/20,2100401,,,,
11/28/20,1801444,,,,
11/27/20,1870459,,,,
11/26/20,2298616,,,,
11/25/20,2000260,,,,
11/24/20,1781893,,,,
11/23/20,2347075,,,,
11/22/20,2242656,,,,
11/21/20,1876782,,,,
11/20/20,1691205,,,,
11/19/20,1992453,,,,
11/18/20,2183734,,,,
11/17/20,1687974,,,,
11/16/20,2072543,,,,
11/15/20,2034472,,,,
11/14/20,1815040,,,,
11/13/20,1806480,,,,
11/12/20,2210542,,,,
11/11/20,2422272,,,,
11/10/20,2178656,,,,
11/09/20,805990,,,,
11/08/20,874406,,,,
11/07/20,1163696,,,,
11/06/20,1019347,,,,
11/05/20,1111751,,,,
11/04/20,1284599,,,,
11/03/20,1128773,,,,
11/02/20,616469,,,,
11/01/20,846520,,,,
10/31/20,1191123,,,,
10/30/20,992167,,,,
10/29/20,954782,,,,
10/28/20,1064619,,,,
10/27/20,1073563,,,,
10/26/20,1066747,,,,
10/25/20,846934,,,,
10/24/20,641966,,,,
10/23/20,552024,,,,
10/22/20,752451,,,,
10/21/20,865014,,,,
10/20/20,662380,,,,
10/19/20,787489,,,,
10/18/20,754307,,,,
10/17/20,564372,,,,
10/16/20,501513,,,,
10/15/20,703546,,,,
10/14/20,837137,,,,
10/13/20,629430,,,,
10/12/20,753951,,,,
10/11/20,738050,,,,
10/10/20,632356,,,,
10/09/20,780283,,,,
10/08/20,981912,,,,
10/07/20,1176091,,,,
10/06/20,964630,,,,
10/05/20,820399,,,,
10/04/20,560902,,,,
10/03/20,1070967,,,,
10/02/20,912090,,,,
10/01/20,917354,,,,
09/30/20,1047934,,,,
09/29/20,984369,,,,
09/28/20,1019836,,,,
09/27/20,907332,,,,
09/26/20,703135,,,,
09/25/20,611497,,,,
09/24/20,883157,,,,
09/23/20,978297,,,,
09/22/20,697360,,,,
09/21/20,881579,,,,
09/20/20,866679,,,,
09/19/20,674633,,,,
09/18/20,596475,,,,
09/17/20,836600,,,,
09/16/20,973020,,,,
09/15/20,689951,,,,
09/14/20,895091,,,,
09/13/20,867105,,,,
09/12/20,636533,,,,
09/11/20,575829,,,,
09/10/20,846138,,,,
09/09/20,936092,,,,
09/08/20,618476,,,,
09/07/20,892712,,,,
09/06/20,873636,,,,
09/05/20,666957,,,,
09/04/20,648517,,,,
09/03/20,898735,,,,
09/02/20,983745,,,,
09/01/20,755287,,,,
08/31/20,958437,,,,
08/30/20,934386,,,,
08/29/20,694150,,,,
08/28/20,662484,,,,
08/27/20,921031,,,,
08/26/20,1031505,,,,
08/25/20,788743,,,,
08/24/20,973046,,,,
08/23/20,950024,,,,
08/22/20,717940,,,,
08/21/20,680894,,,,
08/20/20,958440,,,,
08/19/20,984234,,,,
08/18/20,769868,,,,
08/17/20,968545,,,,
08/16/20,936915,,,,
08/15/20,668519,,,,
08/14/20,590766,,,,
08/13/20,816838,,,,
08/12/20,900911,,,,
08/11/20,677661,,,,
08/10/20,857186,,,,
08/09/20,855908,,,,
08/08/20,634046,,,,
08/07/20,568688,,,,
08/06/20,797699,,,,
08/05/20,873038,,,,
08/04/20,659350,,,,
08/03/20,826329,,,,
08/02/20,826316,,,,
